root_id,flow,class,cell_type,edges_to_epg,targets_hit,conn_sum,signed_sum,positive_signed_sum,negative_signed_sum
720575940618612952,intrinsic,CX,,12,12,59.0,59.0,59.0,0.0
720575940619296365,intrinsic,CX,,12,12,59.0,59.0,59.0,0.0
720575940610901930,intrinsic,CX,,12,12,56.0,56.0,56.0,0.0
720575940611216099,intrinsic,CX,,14,14,55.0,55.0,55.0,0.0
720575940635978926,intrinsic,CX,,10,10,54.0,54.0,54.0,0.0
720575940650785401,intrinsic,CX,,27,27,54.0,54.0,54.0,0.0
720575940610980932,intrinsic,CX,,28,28,52.0,52.0,52.0,0.0
720575940636730694,intrinsic,CX,,11,11,50.0,50.0,50.0,0.0
720575940631990359,intrinsic,CX,,8,8,48.0,48.0,48.0,0.0
720575940616616166,intrinsic,CX,,8,8,44.0,44.0,44.0,0.0
720575940617752537,intrinsic,CX,,13,13,41.0,41.0,41.0,0.0
720575940619845547,intrinsic,CX,ExR2_2,28,28,41.0,41.0,41.0,0.0
720575940629459441,intrinsic,CX,,10,10,39.0,39.0,39.0,0.0
720575940623973837,intrinsic,CX,,12,12,38.0,38.0,38.0,0.0
720575940624323475,intrinsic,CX,ExR2_2,25,25,38.0,38.0,38.0,0.0
720575940626721835,intrinsic,CX,,9,9,35.0,35.0,35.0,0.0
