driver_root_id,flow,class,cell_type,driver_to_epg_signed_sum,edges_to_epg,targets_hit,min_hops_from_any_afferent,min_hops_from_olfvis_afferent,direct_afferent_edges,direct_afferent_conn_sum,direct_afferent_signed_sum,direct_afferent_unique_presyn,direct_olfvis_edges,direct_olfvis_conn_sum,direct_olfvis_signed_sum,direct_olfvis_unique_presyn
720575940620282906,intrinsic,CX,,83.0,16,16,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940623046548,intrinsic,CX,,83.0,11,11,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940645057828,intrinsic,CX,,83.0,36,36,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940613829900,intrinsic,CX,,82.0,13,13,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940630199963,intrinsic,CX,,82.0,13,13,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940642634532,intrinsic,CX,,81.0,15,15,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940635427982,intrinsic,CX,,81.0,11,11,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940621502157,intrinsic,CX,,81.0,14,14,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940612937073,intrinsic,CX,,81.0,33,33,1,3,2.0,2.0,0.0,2.0,0,0,0,0
720575940608722371,intrinsic,CX,,81.0,12,12,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940631125036,intrinsic,CX,,80.0,18,18,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940632614295,intrinsic,CX,,80.0,11,11,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940633538724,intrinsic,CX,,78.0,13,13,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940609924875,intrinsic,CX,,77.0,12,12,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940622772137,intrinsic,CX,,77.0,16,16,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940624784280,intrinsic,CX,,75.0,12,12,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940625351354,intrinsic,CX,,74.0,12,12,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940625653223,intrinsic,CX,ExR2_1,74.0,40,40,1,3,2.0,2.0,2.0,2.0,0,0,0,0
720575940660921985,intrinsic,CX,,74.0,11,11,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940604801993,intrinsic,CX,,72.0,12,12,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940610453427,intrinsic,CX,,71.0,13,13,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940622364771,intrinsic,CX,,71.0,11,11,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940620020694,intrinsic,CX,,70.0,10,10,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940626137895,intrinsic,CX,,70.0,13,13,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940633719487,intrinsic,CX,,64.0,12,12,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940623852873,intrinsic,CX,,63.0,11,11,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940605827761,intrinsic,CX,,62.0,10,10,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940616569601,intrinsic,CX,,62.0,12,12,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940618612952,intrinsic,CX,,59.0,12,12,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940619296365,intrinsic,CX,,59.0,12,12,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940610901930,intrinsic,CX,,56.0,12,12,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940611216099,intrinsic,CX,,55.0,14,14,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940650785401,intrinsic,CX,,54.0,27,27,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940635978926,intrinsic,CX,,54.0,10,10,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940610980932,intrinsic,CX,,52.0,28,28,1,2,6.0,80.0,-64.0,6.0,0,0,0,0
720575940636730694,intrinsic,CX,,50.0,11,11,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940631990359,intrinsic,CX,,48.0,8,8,2,2,0.0,0.0,0.0,0.0,0,0,0,0
720575940616616166,intrinsic,CX,,44.0,8,8,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940617752537,intrinsic,CX,,41.0,13,13,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940619845547,intrinsic,CX,ExR2_2,41.0,28,28,1,3,9.0,14.0,6.0,9.0,0,0,0,0
720575940629459441,intrinsic,CX,,39.0,10,10,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940623973837,intrinsic,CX,,38.0,12,12,2,3,0.0,0.0,0.0,0.0,0,0,0,0
720575940624323475,intrinsic,CX,ExR2_2,38.0,25,25,1,3,4.0,6.0,2.0,4.0,0,0,0,0
720575940626721835,intrinsic,CX,,35.0,9,9,2,3,0.0,0.0,0.0,0.0,0,0,0,0
