tick,time_sec,spike_count_total,epg_spike_count,driver_spike_count,stim_afferent_spike_count,spike_ids
31,0.031000,14,0,0,1,720575940605780140|720575940605807206|720575940609341809|720575940617313841|720575940623358099|720575940624774839|720575940625673964|720575940627458570|720575940628644239|720575940628791812|720575940632126860|720575940635970190|720575940637210334|720575940638989894
32,0.032000,12,0,0,0,720575940606564482|720575940613193642|720575940618398533|720575940619681006|720575940620899542|720575940621325034|720575940623083242|720575940624095172|720575940624619036|720575940625558730|720575940636360811|720575940642876320
33,0.033000,20,0,0,0,720575940605607392|720575940606222014|720575940612603289|720575940614562271|720575940615792523|720575940616534338|720575940617013554|720575940617500443|720575940623122125|720575940623772564|720575940624876889|720575940627578055|720575940628154364|720575940629786624|720575940631283512|720575940631715896|720575940631721785|720575940633011256|720575940638403928|720575940640436814
34,0.034000,26,0,0,3,720575940604737708|720575940609488942|720575940609713710|720575940612358642|720575940612921746|720575940613636325|720575940616603793|720575940617755220|720575940621519130|720575940622516852|720575940623553260|720575940623748789|720575940624163303|720575940626162890|720575940626768442|720575940628861660|720575940629981440|720575940630658578|720575940632962786|720575940633178508|720575940636411534|720575940640325429|720575940642262157|720575940643112333|720575940644438551|720575940646753412
35,0.035000,25,0,0,4,720575940608188427|720575940610621026|720575940614963359|720575940616807897|720575940618355870|720575940620380449|720575940621819630|720575940622416628|720575940622540899|720575940622552675|720575940622945037|720575940623302988|720575940623758377|720575940624986919|720575940625345511|720575940625477322|720575940626013315|720575940626662277|720575940627432680|720575940627715870|720575940628339611|720575940629426025|720575940631925156|720575940632722515|720575940632875746
36,0.036000,18,0,0,2,720575940610211779|720575940614461014|720575940615999489|720575940616980737|720575940617401122|720575940621024545|720575940622303446|720575940624323110|720575940626125331|720575940626693130|720575940628016387|720575940628357714|720575940628644239|720575940630098284|720575940630480459|720575940631532396|720575940635271822|720575940637535077
37,0.037000,8,0,0,0,720575940607641010|720575940611385806|720575940614137907|720575940618332757|720575940626730883|720575940628346634|720575940633315263|720575940633800860
38,0.038000,32,0,0,1,720575940604735660|720575940607880578|720575940611206514|720575940611638258|720575940612281586|720575940615429118|720575940615948610|720575940618658974|720575940619701231|720575940620537153|720575940620571953|720575940620746478|720575940621393172|720575940623025413|720575940623067389|720575940624231143|720575940625827358|720575940625970471|720575940626039996|720575940626694288|720575940627946512|720575940629560770|720575940629630679|720575940630006636|720575940630931999|720575940631844300|720575940632669800|720575940638169917|720575940639421043|720575940639432782|720575940647081860|720575940659019649
39,0.039000,32,0,0,0,720575940605009097|720575940607155890|720575940611563310|720575940612766515|720575940613863731|720575940613891442|720575940613915823|720575940615296766|720575940615755147|720575940621775130|720575940621777390|720575940621947653|720575940623718119|720575940624376456|720575940624891941|720575940628238217|720575940628356102|720575940629327659|720575940631625979|720575940631714119|720575940632815780|720575940633631396|720575940635170484|720575940635771316|720575940636360811|720575940637071849|720575940637308605|720575940637586751|720575940637635305|720575940640852056|720575940644306592|720575940645693988
40,0.040000,38,0,1,0,720575940606222014|720575940606391218|720575940608140380|720575940610822513|720575940613635737|720575940614456332|720575940615526978|720575940616130646|720575940616507865|720575940616661465|720575940616821597|720575940617672920|720575940619636615|720575940620091038|720575940621116807|720575940621270042|720575940622517956|720575940624342569|720575940624452902|720575940625053186|720575940627044885|720575940629041879|720575940629821740|720575940630372982|720575940631313721|720575940631715896|720575940632307025|720575940632440220|720575940633116256|720575940634172267|720575940634428058|720575940635464343|720575940636879534|720575940640788725|720575940643817888|720575940645239844|720575940647755641|720575940651341558
